"symbol","log2FC","pvalue","padj"
"ADAT3",0.186656644633848,0.364711253658064,0.632969171284309
"ADC",-0.142619633992887,0.497618481856281,0.714127719420688
"ADCK1",-0.126915761187008,0.135932454037177,0.415230202155498
"ADCK2",0.446283586153158,0.0842320461962215,0.324652215534595
"ADCK3",-0.343379800929262,0.108075633279642,0.367164289403575
"ADCK4",-0.162754897325397,0.192943868614636,0.483766113102417
"ADCK5",-0.00104118526581209,0.993604450441275,0.997299291905575
"ADCY1",-0.999444578030341,0.13720011976399,0.416960871592744
"ADCY10",-0.000718799636679236,0.96392099072261,0.985326797800242
"ADCY2",-0.0592771740336069,0.803501471826555,0.910456976472349
"ADCY3",0.501225590690471,0.0351613829078813,0.208442370271617
"ADCY4",-0.778970569777484,0.00337204209095255,0.0735978275659195
"ADCY5",0.0502253450977584,0.713568575984009,0.859490392056888
"ADCY6",0.0979049781044496,0.326618603804181,0.632410675135046
"ADCY7",0.039772339702697,0.802741002093309,0.909966672578241
"ADCY8",-0.539437294477067,0.059337719611458,0.271635724866603
"ADCY9",0.106837534319839,0.439992976483773,0.670127233933044
"ADCYAP1R1",-0.00185326300648019,0.391002218955771,0.632969171284309
"ADD1",0.202394022811156,0.00907983416437142,0.112536669101017
"ADD3",-0.0204570669387438,0.849209987621407,0.931561689965817
"ADH1A",1.36179451796882,0.158004266592402,0.445797752171419
"ADH1B",1.13054113988215,0.0129300995867722,0.131056453238429
"ADH1C",0.83679719129492,0.0656966333896928,0.285881856985063
"ADH4",0.24011384591644,0.286526795248747,0.589494149784474
"ADH5",0.304604666410136,0.0281807257946246,0.187138656256783
"ADH6",0.279653272014053,0.0654196877140058,0.285206532153191
"ADH7",-0.0109168843485482,0.779399734633062,0.897912771486574
"ADHFE1",1.17310029114602,0.00918426853281734,0.113424943321318
"ADI1",0.573218163967235,0.00323316159513188,0.0731469877063945
"ADIPOQ",0.00291686651982708,0.6282054977619,0.807875005755678
"ADIPOR1",0.357424402783518,0.0146991891796107,0.13833609807097
"ADIPOR2",0.230582440513163,0.00448512551644155,0.0837730317854795
"ADK",-0.114883970060298,0.102882410351578,0.357142411181398
"ADM",0.68177522906627,0.0209692199831106,0.16293841547883
"ADM2",-0.859052417529623,0.0116904568417284,0.125312927888665
"ADNP",-0.219745066072869,0.00206019139640305,0.059818664105454
"ADNP2",0.0444680136863886,0.121452251258511,0.391556577796598
"ADO",-0.030998791372594,0.549250690117299,0.753135237885227
"ADORA1",-0.685742734175215,0.0302718369907683,0.194159366362572
